spotid	userid	type
662998	42051	Best Cup
45996	42051	Watering Hole
3930791	42051	My Happy Place
6637039	25925	Pizza
676662	42051	Best Cup
965339	42051	Best Kept Secret
243165	42051	Sandwiches
301544	42051	Best Kept Secret
126063	42051	Tacos
146493	152896	Pizza
56730	42051	My Happy Place
605538	42051	Best Cup
39635	42051	Steak
97681	19800	Best Cup
7403489	42051	My Happy Place
192673	42051	Live Music
1123409	42051	Pizza
310088	124381	Drinks
310088	124381	Watering Hole
486265	42051	OMG
296249	42051	My Happy Place
210974	42051	Beer
10963	42051	Drinks
58367	42051	Drinks
1536588	42051	My Happy Place
1108919	42051	Sandwiches
11784	2195501	Scenic at Night
11784	373082	Scenic at Night
11784	1651022	Scenic at Night
11784	73966	Date Night
925199	42051	Steak
410502	477535	Best Cup
99122	42051	Wine
11781	2123673	Tourist Trap
1024099	42051	My Happy Place
4233426	42051	Drinks
102363	42051	Beer
399514	42051	Picturesque
175339	42051	Beer
73550	42051	Beer
108142	42051	Beer
451697	42051	Sandwiches
1446181	42051	Pizza
62293	2247269	FTW
62293	86632	Kid Friendly
681011	42051	Breakfast
11790	222647	Best Cup
689477	42051	People Watching
993341	719267	Guilty Pleasure
2598395	279399	Scenic at Night
2598395	199895	Scenic at Night
1109411	386126	Foodie
50591	42051	Beer
11738	309480	Free Wifi
11738	110498	My Happy Place
11738	186210	My Happy Place
93276	56700	Scenic at Night
93276	1447411	Scenic at Night
93276	2099221	Scenic at Night
93276	120	Scenic at Night
93276	115418	Scenic at Night
93276	18892	Scenic at Night
794371	42051	Wine
93276	18035	Scenic at Night
93276	237289	My Happy Place
93276	275554	Scenic at Night
93276	161687	Scenic at Night
93276	14898	Scenic at Night
174185	15064	Breakfast
90648	42051	Picturesque
359074	378957	Take My Breath Away
107345	2216104	Best Cup
590168	42051	Beer
590168	252521	Watering Hole
591431	42051	Beer
591431	354562	Live Music
104822	42051	My Happy Place
314834	13251	Historical Record
188022	42051	Burgers
6904558	2523810	Kid Friendly
416951	42051	Scenic at Night
225491	42051	Best Cup
225491	7874	Best Cup
225491	197	Best Cup
225491	1447411	Best Cup
174056	17751	Wedding Day
242445	106363	Wedding Day
84475	42051	Best Cup
84475	981591	Best Cup
1411946	42051	Take My Breath Away
7583411	2685253	Drinks
841263	29810	Best Kept Secret
6861660	2395769	Steak
858019	42051	Date Night
7118990	197104	Best Cup
199758	27893	Beer
199758	42051	Beer
6487480	42051	Sandwiches
559902	42051	Best Kept Secret
93196	42051	Breakfast
2037618	379234	Best Cup
136025	42051	Breakfast
740982	2685253	BBQ
309095	15064	Guilty Pleasure
209172	2140571	Celebrity Sighting
1201507	15309	Best Kept Secret
386129	134888	Alma Mater
386129	1943968	Alma Mater
386129	58148	Alma Mater
386129	14204	Alma Mater
255810	169530	Scenic at Night
87688	42051	Steak
376689	2043144	Guilty Pleasure
7408431	15309	Burgers
51544	64905	My Happy Place
143288	386126	Double Rainbow
448542	42051	Date Night
1446126	42051	Scenic at Night
539123	151343	Pizza
122792	186210	Pizza
157992	186210	Best Kept Secret
773110	101582	Scenic at Night
773110	2696	Scenic at Night
1141087	42051	My Happy Place
3853588	42051	Picturesque
1123137	2430749	LOL
1317635	2284038	My Happy Place
2348807	634642	My Happy Place
77972	42051	Kid Friendly
561229	42051	Pizza
569196	2137192	Alma Mater
6861983	42051	Sandwiches
1599169	42051	Steak
402356	705158	Best Kept Secret
537288	42051	Sandwiches
1400629	2430749	OMG
199382	42051	Breakfast
367146	42051	Best Cup
639049	42051	My Happy Place
198993	42051	Open Late
609718	16005	Alma Mater
6621086	2186091	My Happy Place
931347	42051	Open Late
313663	73966	Best Cup
689337	42051	Best Cup
6568982	42051	Beer
1032476	235492	Breakfast
142337	42051	Picturesque
142337	2682716	Picturesque
43912	15064	Best Kept Secret
438123	73966	Breakfast
377802	42051	Vegetarian
299802	73966	Watering Hole
312190	742303	Best Cup
6942955	2321876	GTD
6544792	42051	Best Cup
6957379	20756	GTD
844106	42051	FTW
4904200	1314958	GTD
6529095	42051	Best Cup
6835046	42051	Sandwiches
6786681	7874	Guilty Pleasure
6402988	42051	Sandwiches
3187180	42051	Take My Breath Away
1287766	42051	Drinks
1193834	2112897	Tacos
312464	42051	Best Cup
55744	2552903	FTW
90473	2275653	Tacos
6716563	42051	Sandwiches
945689	2515203	Historical Record
916773	2117061	Pizza
122184	26010	Pizza
2108850	42051	My Happy Place
810393	42051	Tacos
7105276	2431467	FTW
135714	1780317	Alma Mater
1425486	294739	My Personal Hell
1529824	275554	Pizza
411478	42051	Open Late
700190	42051	Tacos
152615	42051	Watering Hole
298458	42051	Sandwiches
5044522	26589	My Happy Place
340193	42051	My Happy Place
722624	42051	Steak
6689188	42051	Pizza
7298056	42051	GTD
555219	42051	Drinks
1035904	42051	Steak
242634	42051	Drinks
566210	42051	Sandwiches
1498142	2145621	FTW
755227	437436	OMG
1032903	42051	GTD
23261	23347	Celebrity Sighting
23261	1668126	OMG
23261	26383	Alma Mater
23261	70709	My Happy Place
23261	2320344	Best Cup
23261	325817	Free Wifi
23261	2157885	My Happy Place
23261	365659	Celebrity Sighting
23261	2257614	WTF
23261	292298	OMG
23261	2014784	WTF
23261	1409810	Celebrity Sighting
23261	754104	Celebrity Sighting
23261	83063	Celebrity Sighting
634928	2407114	Breakfast
470613	2407114	My Happy Place
6842053	42051	My Happy Place
1689617	2161145	Celebrity Sighting
1369990	42051	Drinks
615352	42051	Burgers
615352	2407114	Burgers
615352	2407114	Steak
528126	2407114	Guilty Pleasure
528126	2407114	Best Cup
187721	42051	Pizza
268299	42051	FTW
17417	42051	Free Wifi
28031	42051	Open Late
278428	748598	WTF
560224	2558287	Burgers
3928146	2089779	Pizza
682985	2218577	Watering Hole
628436	2218577	Best Cup
616538	2125207	Vegetarian
716784	2115009	Alma Mater
716784	2110323	Alma Mater
716784	279920	Alma Mater
716784	310392	Alma Mater
716784	154091	Wedding Day
716784	129854	Alma Mater
716784	154091	Alma Mater
552570	2218577	Pizza
1286799	586856	Pizza
1192397	2165924	Scenic at Night
1326564	1672244	Pizza
891570	144844	Engaged
57811	2309648	Pizza
721003	309765	People Watching
721003	333079	Celebrity Sighting
721003	1041834	My Happy Place
5173819	1220795	Best Kept Secret
459633	2554188	Breakfast
6477918	1220795	Best Kept Secret
174459	2191837	Celebrity Sighting
439255	1533245	Alma Mater
799156	2112885	Alma Mater
799156	2112885	Best Kept Secret
1187839	2113377	People Watching
676565	219284	Alma Mater
676565	20910	Alma Mater
37365	771	Alma Mater
473244	2418190	Alma Mater
739834	42051	Beer
475885	2218577	Live Music
475885	3717	Live Music
791914	42051	Sandwiches
227160	42051	Pizza
227160	249357	Pizza
227160	2110323	Pizza
227160	338430	Pizza
227160	6303	Pizza
1537421	1471188	Alma Mater
1537421	393689	Alma Mater
1537421	338430	Alma Mater
1537421	282553	Alma Mater
740310	42051	Beer
6458094	42051	Sandwiches
238150	301677	Scenic at Night
483246	42051	Sandwiches
200395	42051	FTW
103955	220492	Guilty Pleasure
53275	847545	Best Cup
244144	42051	My Happy Place
201709	42051	Scenic at Night
201969	42051	Scenic at Night
38917	19024	Scenic at Night
6429116	42051	Watering Hole
935161	1543734	Best Cup
196387	353063	OMG
196387	42051	People Watching
923243	119137	Scenic at Night
1413747	173235	Tacos
199599	306469	People Watching
753850	2126405	Scenic at Night
13361	158122	Best Kept Secret
25183	42051	Picturesque
39670	299182	Date Night
225918	195797	FTW
225918	105030	Scenic at Night
1138868	156870	Double Rainbow
575455	1590158	Celebrity Sighting
1018563	42051	Celebrity Sighting
88482	42051	My Happy Place
88478	42051	Drinks
15079	132774	Take My Breath Away
15079	23347	Beer
15079	2635991	Free Wifi
15079	1364	My Happy Place
15079	2223059	Tourist Trap
15079	2538093	Best Kept Secret
15079	390135	Picturesque
15079	2379246	Best Kept Secret
15079	2150546	Scenic at Night
15079	305137	People Watching
15079	79037	Celebrity Sighting
15079	1924323	Scenic at Night
15079	17268	Take My Breath Away
15079	42051	People Watching
757583	346542	Celebrity Sighting
69446	23347	Celebrity Sighting
191542	42051	Scenic at Night
3456815	2156269	Pizza
3456815	2097098	Pizza
3456815	93115	Pizza
1171762	42051	Beer
58551	2099221	Celebrity Sighting
40329	42051	My Happy Place
265104	2161391	Best Kept Secret
27836	2635991	Breakfast
27836	42051	Sandwiches
27836	284264	Celebrity Sighting
27836	740146	Celebrity Sighting
27836	2080481	Guilty Pleasure
744996	42051	Sandwiches
5210951	42051	Vegetarian
62838	1422243	Best Cup
62838	1191106	Best Cup
62838	23138	Best Cup
7555022	2690256	My Happy Place
652014	299182	Best Kept Secret
1033566	23347	Guilty Pleasure
171954	62421	Date Night
456858	42051	Steak
356695	42051	Scenic at Night
244214	42051	Drinks
244214	42051	Tacos
244214	212012	Tacos
428440	2161391	Celebrity Sighting
239785	42051	Drinks
21553	42051	Open Late
21553	19800	My Happy Place
21553	904833	Guilty Pleasure
194358	42051	Celebrity Sighting
194358	141060	My Happy Place
799007	42051	Guilty Pleasure
520638	42051	Take My Breath Away
520638	2093206	Celebrity Sighting
58496	42051	Date Night
418526	42051	Drinks
231271	42051	People Watching
59679	42051	Burgers
641469	42051	Scenic at Night
641469	239954	Watering Hole
210855	42051	Beer
13923	1009424	Watering Hole
191524	42051	My Happy Place
191524	719267	Date Night
28111	42051	GTD
421494	1062524	Scenic at Night
7434991	2726458	Foodie
477984	42051	Sandwiches
85096	16958	Picturesque
85096	2166787	People Watching
2588596	42051	Sandwiches
651931	42051	Take My Breath Away
88730	2451403	Guilty Pleasure
7164537	2590708	Take My Breath Away
149326	42051	Guilty Pleasure
383704	2696	Best Kept Secret
5600409	73966	Drinks
29180	42051	Breakfast
1093164	387662	Pizza
3798701	42051	Steak
12614	12187	Beer
12614	13733	Burgers
12614	42051	Burgers
12614	54290	Steak
12614	2242899	Celebrity Sighting
12614	2190467	My Happy Place
293440	42051	Burgers
1452751	23347	Celebrity Sighting
1452751	42051	Wine
164424	131382	Burgers
164424	2242899	Burgers
164424	33229	Burgers
628893	42051	Drinks
316442	2696	Breakfast
59233	16958	WTF
59233	299036	Best Kept Secret
59233	145992	Celebrity Sighting
91244	667235	Best Cup
69475	8031	Celebrity Sighting
234084	12526	Vegetarian
475260	42051	Drinks
22806	2518695	Celebrity Sighting
22806	303900	Guilty Pleasure
22806	2696	Tourist Trap
201025	42051	FTW
213545	288527	Breakfast
1363555	2093978	Picturesque
12819	42051	Beer
201128	42051	Drinks
829466	29508	Wedding Day
6861299	19313	My Happy Place
749094	139849	Best Kept Secret
192251	42051	Best Kept Secret
46995	1323497	Celebrity Sighting
62612	61680	LOL
12838	42051	LOL
34817	42051	Vegetarian
405479	8031	Open Late
171420	42051	Beer
171420	43398	Celebrity Sighting
68088	42051	Best Cup
68088	125390	Best Cup
68088	55373	Best Cup
68088	96109	Best Cup
201310	42051	Drinks
49765	280494	Historical Record
49765	42051	Steak
6919246	97966	Best Kept Secret
341874	29508	Live Music
750337	42051	People Watching
1099662	249357	Engaged
389321	359287	Scenic at Night
389321	896841	Scenic at Night
26710	42051	People Watching
351503	21795	Take My Breath Away
184304	14369	Pizza
1122408	387662	Wedding Day
1122408	96589	Engaged
1500498	158122	Alma Mater
101051	1857362	Best Cup
101051	1871657	Best Cup
129884	42051	Open Late
129884	24218	Guilty Pleasure
7272617	12526	Scenic at Night
6892090	2676255	OMG
30223	42051	Historical Record
717839	42051	Drinks
109974	42051	Open Late
109974	105030	Burgers
48320	42051	Drinks
48320	35021	Celebrity Sighting
48320	76288	My Happy Place
603242	2518695	Best Kept Secret
92725	42051	Drinks
567064	42051	Drinks
1330699	42051	BBQ
652282	42051	OMG
16320	42051	Open Late
347373	42051	My Happy Place
111099	42051	FTW
2328822	640602	Double Rainbow
68812	2043144	Pizza
68812	37601	Celebrity Sighting
68812	63336	Pizza
7423547	13251	My Happy Place
747149	42051	Date Night
123716	42051	People Watching
109484	1194841	Scenic at Night
177549	2573402	Alma Mater
177549	93531	Alma Mater
177549	1479597	Alma Mater
177549	21386	Alma Mater
53535	634642	My Happy Place
53535	16003	Watering Hole
7393705	2696	Best Kept Secret
165949	303911	FTW
165949	42051	Guilty Pleasure
360080	101703	Best Cup
87914	54419	Pizza
87914	2147460	Pizza
87914	194831	Pizza
681824	12526	Celebrity Sighting
395731	42051	BBQ
395731	2099221	Watering Hole
1155824	294	GTD
214978	675078	People Watching
172532	42051	Burgers
232081	2310984	Pizza
232081	149904	Pizza
232081	2277792	Pizza
232081	1544656	Pizza
232081	69785	Pizza
47073	42051	Drinks
29449	16958	FTW
29449	16958	Historical Record
29449	822901	Alma Mater
29449	42051	Alma Mater
196809	42051	Drinks
921487	2380530	My Happy Place
103836	42051	Steak
170713	2140096	Pizza
74229	2446361	Tacos
74229	456226	Tacos
666646	133199	Sandwiches
1599990	42051	Open Late
22151	2107123	Sandwiches
530589	368767	Tacos
673044	42051	OMG
248066	42051	OMG
616670	42051	Open Late
1101183	1009424	Take My Breath Away
4770875	1867	Pizza
398223	42051	Scenic at Night
11875	2718903	Alma Mater
11875	2211275	My Happy Place
11875	2088201	Celebrity Sighting
11875	2083718	Live Music
11875	874290	Take My Breath Away
11875	133199	Live Music
383836	42051	Burgers
383836	200463	Celebrity Sighting
96977	241143	Live Music
207035	1722115	Vegetarian
207035	55963	My Happy Place
1009908	100208	Date Night
137429	705158	Breakfast
844968	42051	Guilty Pleasure
809743	42051	People Watching
6879895	19313	My Happy Place
87942	42051	Guilty Pleasure
22113	2613713	My Happy Place
22113	1343	Breakfast
880681	342729	Best Cup
50065	821041	Historical Record
1426785	105030	Burgers
172672	133199	Pizza
172672	156493	Pizza
172672	71060	Pizza
172672	102739	Pizza
172672	21628	Pizza
172672	303900	Pizza
172672	2696	Pizza
660019	33229	Live Music
351679	42051	Beer
351679	131382	Tacos
1503715	824173	Celebrity Sighting
898892	42051	Pizza
1431386	364901	People Watching
220989	76997	Alma Mater
220989	252521	Alma Mater
220989	1047255	Alma Mater
220989	3657	Alma Mater
65254	42051	Date Night
13048	2556844	Historical Record
518424	586856	WTF
518424	1316263	My Happy Place
210659	42051	Steak
84926	42051	Beer
350502	123962	Best Cup
886504	35809	Guilty Pleasure
273251	42051	Date Night
273251	29810	Celebrity Sighting
7482343	92241	Historical Record
174531	23347	Burgers
116499	42051	Drinks
151109	23347	Celebrity Sighting
33634	2222727	Date Night
16904	115963	Take My Breath Away
16904	18893	Celebrity Sighting
381287	23347	Celebrity Sighting
511463	8031	Live Music
511463	93733	Celebrity Sighting
511463	1313100	Live Music
6464522	294739	Celebrity Sighting
6464522	294739	Alma Mater
223085	14733	Burgers
1043173	42051	Pizza
1043173	2115240	Watering Hole
67149	42051	LOL
4494098	31703	Celebrity Sighting
1333615	42051	Drinks
383505	1504389	Pizza
2285810	42051	Beer
2285810	1316263	Watering Hole
208877	42051	My Happy Place
552195	42051	My Happy Place
900626	326202	Best Kept Secret
82183	2150778	Live Music
124646	103270	Historical Record
1015940	327272	Best Kept Secret
1085093	42051	Steak
958866	42051	OMG
991495	2149357	Live Music
991495	279720	Live Music
278096	2179691	Guilty Pleasure
811957	173235	Guilty Pleasure
4456890	42051	Scenic at Night
389893	42051	Drinks
40420	42051	Steak
379073	847545	Pizza
246962	2116106	Pizza
246962	1564	Pizza
80275	1316263	Guilty Pleasure
80275	1316263	Best Cup
33849	42051	Beer
535118	2696	Guilty Pleasure
764969	42051	Take My Breath Away
1034913	2668248	Drinks
1034913	2668248	Picturesque
1034913	2668248	Kid Friendly
1524284	2041	GTD
650823	2636234	People Watching
158241	42051	Watering Hole
74721	1564	Celebrity Sighting
40459	2149357	Sandwiches
40459	21386	Best Kept Secret
383499	2093206	Pizza
450651	150618	Alma Mater
450651	625517	Alma Mater
450651	173240	Alma Mater
187669	2696	Live Music
6972139	68912	Double Rainbow
67942	2081303	Best Cup
7195549	134002	Breakfast
396067	294739	Vegetarian
1068110	2112897	Watering Hole
7076791	2263967	Best Cup
72267	42051	Beer
96132	2635991	Take My Breath Away
96132	42051	Guilty Pleasure
96132	195500	Guilty Pleasure
529681	2317422	My Happy Place
529681	2317422	Date Night
529681	2317422	BBQ
529681	2317422	Steak
104489	42051	Scenic at Night
370272	160974	Pizza
39399	42051	BBQ
39399	9022	BBQ
39399	18892	BBQ
39399	2147467	Steak
39399	1343	BBQ
39399	1009424	Guilty Pleasure
730513	42051	Burgers
201689	42051	Drinks
139894	9933	Watering Hole
585481	42051	Wine
107060	42051	Tacos
410497	22877	Live Music
3469231	136402	Alma Mater
3469231	117480	Alma Mater
16397	2696	Picturesque
16397	45903	People Watching
16397	68535	Celebrity Sighting
16397	1692154	People Watching
16397	456226	People Watching
16397	1009424	Celebrity Sighting
16397	240504	My Happy Place
16397	16128	People Watching
16397	163650	People Watching
16397	896841	People Watching
16397	69785	People Watching
16397	2696	Live Music
5655996	1711591	Wine
440680	235188	Engaged
440680	84655	Engaged
1300766	142062	Best Cup
1300766	2696	Best Cup
260957	12503	Beer
260957	42051	Beer
260957	2	Watering Hole
260957	6716	Watering Hole
260957	2696	Watering Hole
6542095	821041	Pizza
319413	2128247	Guilty Pleasure
85697	42051	My Happy Place
85697	2145006	Pizza
1952224	42051	Guilty Pleasure
1952224	29810	Guilty Pleasure
1320132	42051	My Happy Place
108657	42051	Breakfast
1182761	249640	FTW
6754514	42051	Best Cup
353162	79947	Celebrity Sighting
353162	104227	Celebrity Sighting
353162	996436	My Happy Place
448516	2657250	My Personal Hell
448516	42051	My Personal Hell
448516	807113	WTF
448516	78885	My Personal Hell
1205097	807113	OMG
1205097	26346	People Watching
1205097	2148572	My Happy Place
83129	42051	People Watching
173871	42051	Best Cup
173871	2150778	Best Cup
173871	3974	Best Cup
27278	2626463	My Happy Place
27278	42051	Scenic at Night
27278	1266186	My Happy Place
27278	943254	Celebrity Sighting
104218	240504	OMG
104218	2034525	Date Night
305148	42051	My Happy Place
305148	2158411	Best Kept Secret
48495	42051	Picturesque
7285143	42051	Steak
96887	2244575	Steak
31911	128971	Guilty Pleasure
196975	2244575	Date Night
192038	42051	Take My Breath Away
472609	8031	Best Kept Secret
166907	42051	Beer
166907	847545	Watering Hole
88616	42051	Steak
6913001	42051	Steak
422318	42051	Date Night
43321	42051	Sandwiches
170971	2696	Celebrity Sighting
224611	42051	Sandwiches
123444	42051	Drinks
239361	6303	Live Music
239361	2099221	Live Music
468806	1063998	Date Night
59101	42051	Steak
1009129	6716	Guilty Pleasure
325992	174955	People Watching
325992	1762667	My Happy Place
60763	42051	Watering Hole
776959	122954	Best Cup
115340	309480	My Happy Place
361359	42051	Vegetarian
75442	42051	Pizza
75442	279399	Pizza
2436072	42051	Sandwiches
2436072	2243020	Vegetarian
2436072	368767	FTW
2436072	149904	Pizza
993451	42051	Burgers
188235	42051	Breakfast
830720	42051	Sandwiches
830720	1343	Sandwiches
76544	12503	Beer
109598	42051	Beer
12973	42051	Historical Record
12973	1502383	Picturesque
12973	8031	Picturesque
1516730	325817	Best Cup
1041670	42051	Live Music
13390	42051	Drinks
13390	150618	Pizza
27180	2140795	Best Kept Secret
57892	2149357	Burgers
591555	42051	Wine
296108	42051	Steak
334480	42051	Breakfast
228233	120319	Free Wifi
916245	538880	Date Night
111008	42051	Steak
1375582	2159336	Tacos
395345	2561042	Celebrity Sighting
60450	12503	GTD
60450	16065	GTD
60450	309480	GTD
60450	1	Third Place
60450	286831	Best Cup
60450	2185075	My Happy Place
6453706	250171	Celebrity Sighting
651019	2147467	Beer
651019	71060	Watering Hole
148006	42051	Steak
148006	2743	Steak
148006	9022	Breakfast
35372	2195501	My Happy Place
35372	27408	Best Cup
323506	2128245	Celebrity Sighting
184121	2095528	Celebrity Sighting
109876	42051	Drinks
280712	42051	BBQ
2588356	2669618	Take My Breath Away
140200	42051	Tacos
823247	110698	My Personal Hell
32881	2407114	People Watching
28125	42051	Best Cup
28125	12503	Best Cup
28125	63348	Best Cup
28125	2109703	Best Cup
28125	66595	Best Cup
28125	219708	Best Cup
28125	2125207	Best Cup
28125	2146724	Best Cup
28125	127676	Best Cup
28125	1343	Best Cup
28125	9933	Best Cup
28125	13146	Best Cup
28125	135483	Best Cup
48496	21873	Best Kept Secret
48496	299036	Best Kept Secret
201837	42051	People Watching
181947	42051	Open Late
201929	42051	FTW
187499	2110323	Guilty Pleasure
799051	378467	Sketchy
799051	12334	Tourist Trap
27917	240504	Date Night
27917	2034525	Best Kept Secret
309660	294739	Vegetarian
309660	221768	Date Night
64930	2179476	Best Cup
64930	646464	Best Cup
492929	42051	Historical Record
492929	2090249	Live Music
492929	1650369	Live Music
492929	1072119	Date Night
7492909	23347	FTW
129197	23347	Drinks
129197	42051	Open Late
129197	146756	Drinks
129197	2124591	Drinks
129197	29810	Drinks
46730	123917	Engaged
210872	42051	Date Night
1310133	42051	Best Kept Secret
37736	2500432	Date Night
37736	16958	Date Night
102479	1914941	My Happy Place
58793	27746	Alma Mater
58793	1808094	Alma Mater
7599243	23347	Best Kept Secret
306384	42051	Drinks
7219223	42051	Best Kept Secret
48076	326803	BBQ
172437	173235	Alma Mater
1933724	89909	Alma Mater
1933724	235492	Alma Mater
1933724	2195164	Alma Mater
1933724	2156269	Alma Mater
1933724	2184236	Alma Mater
1933724	2180614	Alma Mater
1933724	217397	Alma Mater
1933724	2159336	Alma Mater
1933724	2158646	Alma Mater
1933724	2156907	Alma Mater
1933724	92794	Alma Mater
1933724	1590158	Alma Mater
1933724	101344	Alma Mater
1933724	31533	Alma Mater
1933724	2084656	Alma Mater
1933724	101703	Alma Mater
1933724	2043144	Alma Mater
1933724	55373	Alma Mater
1933724	148441	Alma Mater
1933724	218209	Alma Mater
1933724	1314958	Alma Mater
1933724	1297437	Alma Mater
1933724	1118302	Alma Mater
1933724	131417	Alma Mater
1933724	86704	Alma Mater
1933724	856536	Alma Mater
45086	42051	BBQ
45086	2195501	Live Music
45086	212952	Take My Breath Away
57871	42051	Drinks
192190	2147467	Celebrity Sighting
566051	2185075	Best Kept Secret
33696	42051	Vegetarian
28948	64186	Vegetarian
28948	675078	FTW
28948	675078	People Watching
17710	42051	My Happy Place
17710	309480	Picturesque
17710	730816	People Watching
368419	105030	FTW
368419	105030	Celebrity Sighting
450196	2144087	Tourist Trap
208429	1875744	GTD
208429	249371	Date Night
811864	2084269	Best Cup
6867536	42051	Steak
16907	109667	Burgers
16907	326803	Burgers
16907	2696	Burgers
16907	42051	Burgers
16907	1502383	Burgers
16907	170794	Guilty Pleasure
16907	133199	Burgers
16907	33576	Burgers
16907	1111	Burgers
16907	149904	Burgers
16907	2244575	Burgers
16907	73966	Burgers
197459	42051	Scenic at Night
744185	42051	Vegetarian
453868	42051	My Happy Place
453868	115320	Engaged
140309	1199360	Tacos
1093355	42051	Steak
2034560	379350	GTD
106840	2697920	My Happy Place
106840	27893	People Watching
106840	2547364	Picturesque
106840	288527	Tourist Trap
106840	2222727	People Watching
106840	199528	People Watching
106840	110498	People Watching
106840	2097098	People Watching
106840	1364	People Watching
106840	93197	People Watching
106840	2093206	My Happy Place
106840	234330	People Watching
106840	1943411	People Watching
106840	1933199	People Watching
106840	110	Engaged
106840	1462161	People Watching
106840	173235	People Watching
106840	26010	People Watching
106840	303900	People Watching
162016	42051	FTW
7296068	23347	Drinks
7473235	2503664	Pizza
7084280	42051	Breakfast
7084280	42051	OMG
55229	303900	Tacos
59113	42051	My Happy Place
